Instancia,k,Algoritmo,Tipo,Costo_total,Tiempo_ms,Factible,Seleccion
ninstance_305.txt,5,fb,MICRO,-1,0,no,""
ninstance_305.txt,5,bt,MICRO,-1,0,no,""
ninstance_305.txt,5,fb,MACRO,0,0.0999,si,""
ninstance_305.txt,5,bt,MACRO,0,0.0131,si,""
ninstance_305.txt,10,fb,MICRO,0,17.8849,si,""
ninstance_305.txt,10,bt,MICRO,0,0.0363,si,""
ninstance_305.txt,10,fb,MACRO,-1,0,no,""
ninstance_305.txt,10,bt,MACRO,-1,0,no,""
ninstance_328.txt,5,fb,MICRO,-1,0,no,""
ninstance_328.txt,5,bt,MICRO,-1,0,no,""
ninstance_328.txt,5,fb,MACRO,0,3.3401,si,""
ninstance_328.txt,5,bt,MACRO,0,0.012,si,""
ninstance_328.txt,10,fb,MICRO,-1,0,no,""
ninstance_328.txt,10,bt,MICRO,-1,0,no,""
ninstance_328.txt,10,fb,MACRO,0,1.7502,si,""
ninstance_328.txt,10,bt,MACRO,0,0.0104,si,""
ninstance_328.txt,15,fb,MICRO,-1,0,no,""
ninstance_328.txt,15,bt,MICRO,-1,0,no,""
ninstance_328.txt,15,fb,MACRO,0,0.852,si,""
ninstance_328.txt,15,bt,MACRO,0,0.0105,si,""
ninstance_328.txt,20,fb,MICRO,-1,0,no,""
ninstance_328.txt,20,bt,MICRO,-1,0,no,""
ninstance_328.txt,20,fb,MACRO,0,0.0523,si,""
ninstance_328.txt,20,bt,MACRO,0,0.0108,si,""
ninstance_328.txt,25,fb,MICRO,-1,0,no,""
ninstance_328.txt,25,bt,MICRO,-1,0,no,""
ninstance_328.txt,25,fb,MACRO,0,0.0405,si,""
ninstance_328.txt,25,bt,MACRO,0,0.0115,si,""
ninstance_328.txt,30,fb,MICRO,0,0.6712,si,""
ninstance_328.txt,30,bt,MICRO,0,0.0144,si,""
ninstance_328.txt,30,fb,MACRO,0,0.0134,si,""
ninstance_328.txt,30,bt,MACRO,0,0.0104,si,""
ninstance_328.txt,35,fb,MICRO,0,0.892,si,""
ninstance_328.txt,35,bt,MICRO,0,0.0297,si,""
ninstance_328.txt,35,fb,MACRO,0,0.0285,si,""
ninstance_328.txt,35,bt,MACRO,0,0.0247,si,""
ninstance_328.txt,40,fb,MICRO,0,0.6034,si,""
ninstance_328.txt,40,bt,MICRO,0,0.0256,si,""
ninstance_328.txt,40,fb,MACRO,0,0.0142,si,""
ninstance_328.txt,40,bt,MACRO,0,0.0187,si,""
ninstance_328.txt,45,fb,MICRO,0,1.0267,si,""
ninstance_328.txt,45,bt,MICRO,0,0.0258,si,""
ninstance_328.txt,45,fb,MACRO,0,0.0234,si,""
ninstance_328.txt,45,bt,MACRO,0,0.0536,si,""
ninstance_328.txt,50,fb,MICRO,0,0.4182,si,""
ninstance_328.txt,50,bt,MICRO,0,0.0145,si,""
ninstance_328.txt,50,fb,MACRO,0,0.0135,si,""
ninstance_328.txt,50,bt,MACRO,0,0.0103,si,""
ninstance_328.txt,55,fb,MICRO,0,0.4162,si,""
ninstance_328.txt,55,bt,MICRO,0,0.0146,si,""
ninstance_328.txt,55,fb,MACRO,0,0.0188,si,""
ninstance_328.txt,55,bt,MACRO,0,0.0098,si,""
ninstance_328.txt,60,fb,MICRO,0,1.4928,si,""
ninstance_328.txt,60,bt,MICRO,0,0.0391,si,""
ninstance_328.txt,60,fb,MACRO,0,0.036,si,""
ninstance_328.txt,60,bt,MACRO,0,0.0188,si,""
ninstance_328.txt,65,fb,MICRO,0,2.6346,si,""
ninstance_328.txt,65,bt,MICRO,0,0.0419,si,""
ninstance_328.txt,65,fb,MACRO,0,0.0347,si,""
ninstance_328.txt,65,bt,MACRO,0,0.0317,si,""
ninstance_328.txt,70,fb,MICRO,0,1.2725,si,""
ninstance_328.txt,70,bt,MICRO,0,0.0327,si,""
ninstance_328.txt,70,fb,MACRO,0,0.0134,si,""
ninstance_328.txt,70,bt,MACRO,0,0.019,si,""
ninstance_328.txt,75,fb,MICRO,0,0.4153,si,""
ninstance_328.txt,75,bt,MICRO,0,0.0148,si,""
ninstance_328.txt,75,fb,MACRO,0,0.0151,si,""
ninstance_328.txt,75,bt,MACRO,0,0.0095,si,""
ninstance_328.txt,80,fb,MICRO,0,1.1297,si,""
ninstance_328.txt,80,bt,MICRO,0,0.0193,si,""
ninstance_328.txt,80,fb,MACRO,-1,0,no,""
ninstance_328.txt,80,bt,MACRO,-1,0,no,""
ninstance_328.txt,85,fb,MICRO,0,0.8417,si,""
ninstance_328.txt,85,bt,MICRO,0,0.019,si,""
ninstance_328.txt,85,fb,MACRO,-1,0,no,""
ninstance_328.txt,85,bt,MACRO,-1,0,no,""
ninstance_328.txt,90,fb,MICRO,0,0.8344,si,""
ninstance_328.txt,90,bt,MICRO,0,0.0329,si,""
ninstance_328.txt,90,fb,MACRO,-1,0,no,""
ninstance_328.txt,90,bt,MACRO,-1,0,no,""
ninstance_328.txt,95,fb,MICRO,0,0.8457,si,""
ninstance_328.txt,95,bt,MICRO,0,0.0247,si,""
ninstance_328.txt,95,fb,MACRO,-1,0,no,""
ninstance_328.txt,95,bt,MACRO,-1,0,no,""
ninstance_329.txt,5,fb,MICRO,-1,0,no,""
